nohup: ignoring input
============================================
  Chain: unet_pp -> attention_unet_pp
  Started at Thu May 14 00:44:25 CST 2026
============================================
[00:44] Epoch [ 25/100] | Train Loss: 0.1806 | Valid Loss: 0.1214 | Dice L: 0.8993 | Dice T: 0.7861 | Combined: 0.8313 | LR: 1.00e-04 | Time: 408.6s
[00:49] Epoch [ 26/100] | Train Loss: 0.1801 | Valid Loss: 0.1150 | Dice L: 0.8965 | Dice T: 0.7808 | Combined: 0.8271 | LR: 1.00e-04 | Time: 408.5s
[00:54] Epoch [ 27/100] | Train Loss: 0.1795 | Valid Loss: 0.1158 | Dice L: 0.8978 | Dice T: 0.7841 | Combined: 0.8296 | LR: 1.00e-04 | Time: 408.9s
[00:59] Epoch [ 27/100] | Train Loss: 0.1795 | Valid Loss: 0.1158 | Dice L: 0.8978 | Dice T: 0.7841 | Combined: 0.8296 | LR: 1.00e-04 | Time: 408.9s
[01:04] Epoch [ 28/100] | Train Loss: 0.1789 | Valid Loss: 0.1122 | Dice L: 0.8990 | Dice T: 0.7865 | Combined: 0.8315 | LR: 1.00e-04 | Time: 409.6s
[01:09] Epoch [ 29/100] | Train Loss: 0.1783 | Valid Loss: 0.1139 | Dice L: 0.8943 | Dice T: 0.7851 | Combined: 0.8288 | LR: 1.00e-04 | Time: 410.4s
[01:14] Epoch [ 29/100] | Train Loss: 0.1783 | Valid Loss: 0.1139 | Dice L: 0.8943 | Dice T: 0.7851 | Combined: 0.8288 | LR: 1.00e-04 | Time: 410.4s
[01:19] Epoch [ 30/100] | Train Loss: 0.1781 | Valid Loss: 0.1147 | Dice L: 0.8996 | Dice T: 0.7823 | Combined: 0.8292 | LR: 1.00e-04 | Time: 408.8s
[01:24] Epoch [ 31/100] | Train Loss: 0.1782 | Valid Loss: 0.1122 | Dice L: 0.8990 | Dice T: 0.7857 | Combined: 0.8310 | LR: 1.00e-04 | Time: 409.2s
[01:29] Epoch [ 32/100] | Train Loss: 0.1775 | Valid Loss: 0.1135 | Dice L: 0.8985 | Dice T: 0.7791 | Combined: 0.8269 | LR: 1.00e-04 | Time: 409.3s
[01:34] Epoch [ 32/100] | Train Loss: 0.1775 | Valid Loss: 0.1135 | Dice L: 0.8985 | Dice T: 0.7791 | Combined: 0.8269 | LR: 1.00e-04 | Time: 409.3s
[01:39] Epoch [ 33/100] | Train Loss: 0.1775 | Valid Loss: 0.1161 | Dice L: 0.8984 | Dice T: 0.7866 | Combined: 0.8313 | LR: 1.00e-04 | Time: 409.3s
[01:44] Epoch [ 34/100] | Train Loss: 0.1559 | Valid Loss: 0.1135 | Dice L: 0.8972 | Dice T: 0.7889 | Combined: 0.8322 | LR: 1.00e-04 | Time: 409.1s
[01:49] Epoch [ 35/100] | Train Loss: 0.1432 | Valid Loss: 0.1128 | Dice L: 0.9001 | Dice T: 0.7902 | Combined: 0.8342 | LR: 1.00e-04 | Time: 409.0s
[01:54] Epoch [ 35/100] | Train Loss: 0.1432 | Valid Loss: 0.1128 | Dice L: 0.9001 | Dice T: 0.7902 | Combined: 0.8342 | LR: 1.00e-04 | Time: 409.0s
[01:59] Epoch [ 36/100] | Train Loss: 0.1417 | Valid Loss: 0.1125 | Dice L: 0.8977 | Dice T: 0.7924 | Combined: 0.8345 | LR: 1.00e-04 | Time: 408.9s
[02:04] Epoch [ 37/100] | Train Loss: 0.1407 | Valid Loss: 0.1095 | Dice L: 0.9006 | Dice T: 0.7899 | Combined: 0.8342 | LR: 1.00e-04 | Time: 409.0s
[02:09] Epoch [ 38/100] | Train Loss: 0.1398 | Valid Loss: 0.1248 | Dice L: 0.8973 | Dice T: 0.7838 | Combined: 0.8292 | LR: 1.00e-04 | Time: 408.9s
[02:14] Epoch [ 38/100] | Train Loss: 0.1398 | Valid Loss: 0.1248 | Dice L: 0.8973 | Dice T: 0.7838 | Combined: 0.8292 | LR: 1.00e-04 | Time: 408.9s
[02:19] Epoch [ 39/100] | Train Loss: 0.1390 | Valid Loss: 0.1144 | Dice L: 0.8993 | Dice T: 0.7858 | Combined: 0.8312 | LR: 1.00e-04 | Time: 408.9s
[02:24] Epoch [ 40/100] | Train Loss: 0.1382 | Valid Loss: 0.1146 | Dice L: 0.8937 | Dice T: 0.7865 | Combined: 0.8293 | LR: 1.00e-04 | Time: 409.0s
[02:29] Epoch [ 41/100] | Train Loss: 0.1376 | Valid Loss: 0.1161 | Dice L: 0.8952 | Dice T: 0.7843 | Combined: 0.8287 | LR: 1.00e-05 | Time: 409.0s
[02:34] Epoch [ 41/100] | Train Loss: 0.1376 | Valid Loss: 0.1161 | Dice L: 0.8952 | Dice T: 0.7843 | Combined: 0.8287 | LR: 1.00e-05 | Time: 409.0s
[02:39] Epoch [ 42/100] | Train Loss: 0.1370 | Valid Loss: 0.1213 | Dice L: 0.8999 | Dice T: 0.7829 | Combined: 0.8297 | LR: 1.00e-05 | Time: 408.9s
[02:45] Epoch [ 43/100] | Train Loss: 0.1367 | Valid Loss: 0.1166 | Dice L: 0.8982 | Dice T: 0.7854 | Combined: 0.8305 | LR: 1.00e-05 | Time: 409.2s
[02:50] Epoch [ 43/100] | Train Loss: 0.1367 | Valid Loss: 0.1166 | Dice L: 0.8982 | Dice T: 0.7854 | Combined: 0.8305 | LR: 1.00e-05 | Time: 409.2s
[02:55] Epoch [ 44/100] | Train Loss: 0.1367 | Valid Loss: 0.1121 | Dice L: 0.8952 | Dice T: 0.7887 | Combined: 0.8313 | LR: 1.00e-05 | Time: 409.0s
[03:00] Epoch [ 45/100] | Train Loss: 0.1363 | Valid Loss: 0.1122 | Dice L: 0.8939 | Dice T: 0.7903 | Combined: 0.8317 | LR: 1.00e-05 | Time: 408.8s
[03:05] Epoch [ 46/100] | Train Loss: 0.1366 | Valid Loss: 0.1153 | Dice L: 0.8993 | Dice T: 0.7865 | Combined: 0.8316 | LR: 1.00e-05 | Time: 408.9s
